"1","a 100","""100, a hundred, one hundred"""
"2","a 1000","""1000, a thousand, one thousand"""
"3","a 11","an 11"
"4","a 11th","an 11th"
"5","a 18","an 18"
"6","a 18th","an 18th"
"7","a 8","an 8"
"8","a 80","an 80"
"9","a 8th","an 8th"
"10","a absolute","an absolute"
"11","a accident","an accident"
"12","a acoustic","an acoustic"
"13","a acronym","an acronym"
"14","a action","an action"
"15","a actual","an actual"
"16","a additional","an additional"
"17","a affair","an affair"
"18","a African","an African"
"19","a album","an album"
"20","a Algerian","an Algerian"
"21","a alien","an alien"
"22","a alternative","an alternative"
"23","a AM","an AM"
"24","a amateur","an amateur"
"25","a American","an American"
"26","a amount","an amount"
"1313","Although,","However,"
"28","a analog","an analog"
"29","a analogue","an analogue"
"30","a angle","an angle"
"31","a Angolan","an Angolan"
"32","a annual","an annual"
"33","a another","another"
"34","a antenna","an antenna"
"35","a anti","an anti"
"36","a Arabian","an Arabian"
"37","a Arabic","an Arabic"
"38","a Argentine","an Argentine"
"39","a Armenian","an Armenian"
"40","a Asian","an Asian"
"41","a assistant","an assistant"
"42","a associate","an associate"
"43","a Australian","an Australian"
"44","a Austrian","an Austrian"
"45","a average","an average"
"46","a back up","""a back-up, a backup"""
"47","a bacteria","""a bacterium [singular], bacteria [plural]"""
"48","a batsmen","a batsman [singular]"
"49","a businessmen","a businessman [singular]"
"50","a businesswomen","a businesswoman"
"51","a consortia","a consortium [singular]"
"52","a criteria","a criterion [singular]"
"53","a dominate","a dominant"
"54","a early","an early"
"55","a effective","an effective"
"56","a Egyptian","an Egyptian"
"57","a eight","an eight"
"58","a eighth","an eighth"
"59","a eighteen","an eighteen"
"60","a eighteenth","an eighteenth"
"61","a eighty","an eighty"
"62","a electric","an electric"
"63","a electronic","an electronic"
"64","a eleven","an eleven"
"65","a eleventh","an eleventh"
"66","a elite","an elite"
"67","a embedded","an embedded"
"68","a English","an English"
"69","a entire","an entire"
"70","a EP","an EP"
"71","a epic","an epic"
"72","a episode","an episode"
"73","a equal","an equal"
"74","a estimate","an estimate"
"75","a Ethiopian","an Ethiopian"
"76","a ethnic","an ethnic"
"77","a example","an example"
"78","a extra","an extra"
"79","a falling out","a falling-out [though Wiktionary has both]"
"80","a firemen","a fireman [singular]"
"81","a flagella","a flagellum [singular]"
"82","a FM","an FM"
"83","a freshmen","a freshman [singular]"
"84","a fungi","a fungus [singular]"
"85","a gunmen","a gunman [singular]"
"86","a impact","an impact"
"87","a independent","an independent"
"88","a Indian","an Indian"
"89","a individual","an individual"
"90","a Indonesian","an Indonesian"
"91","a indoor","an indoor"
"92","a information","an information"
"93","a initiative","an initiative"
"94","a intelligent","an intelligent"
"95","a interesting","an interesting"
"96","a interim","an interim"
"97","a interior","an interior"
"98","a intermediate","an intermediate"
"99","a international","an international"
"100","a Internet","an Internet"
"101","a intersection","an intersection"
"102","a interview","an interview"
"103","a introduction","an introduction"
"104","a Iranian","an Iranian"
"105","a Iraqi","an Iraqi"
"106","a Irish","an Irish"
"107","a iron","an iron"
"108","a island","an island"
"109","a Israeli","an Israeli"
"110","a issue","an issue"
"111","a Italian","an Italian"
"112","a larvae","a larva [singular]"
"113","a line up","""a line-up, a lineup"""
"114","a lock out","a lockout"
"115","a lose","a loss"
"116","a match up","""a match-up, a matchup"""
"117","a media for","a medium for"
"118","a nuclei","a nucleus [singular]"
"119","a ocean","an ocean"
"120","a official","an official"
"121","a Ohio","an Ohio"
"122","a oil","an oil"
"123","a old","an old"
"124","a one of the","one of the"
"125","a online","an online"
"126","a only","""an only, only a"""
"127","a only a","only a"
"128","a opinion","an opinion"
"129","a organization","an organization"
"130","a original","an original"
"131","a other","an other"
"132","a outbreak","an outbreak"
"133","a outdoor","an outdoor"
"134","a outside","an outside"
"135","a overtime","an overtime"
"136","a owner","an owner"
"137","a paparazzi","""a paparazzo [singular], paparazzi [plural]"""
"138","a parentheses","a parenthesis [singular]"
"139","a phenomena","""a phenomenon [singular], phenomena [plural]"""
"140","a protozoa","""a protozoon [singular], protozoa [plural]"""
"141","a pupae","a pupa [singular]"
"142","a radii","a radius [singular]"
"143","a run in","a run-in"
"144","a set back","""a set-back, a setback"""
"145","a set up","a setup"
"146","a simple as","as simple as"
"147","a spermatozoa","a spermatozoon [singular]"
"148","a statesmen","a statesman [singular]"
"149","a taxa","a taxon [singular]"
"150","a toss up","""a toss-up, a tossup"""
"151","a two months","a two-month"
"152","a ultimate","an ultimate"
"153","a undercover","an undercover"
"154","a underground","an underground"
"155","a unfortunate","an unfortunate"
"156","a unusual","an unusual"
"157","a upper","an upper"
"158","a urban","an urban"
"159","a vertebrae","a vertebra [singular]"
"160","a women","a woman [singular]"
"161","a work out","a workout"
"162","Aboriginal decent","Aboriginal descent"
"163","about it's   "," about its [possessive]"
"164","about they're  "," about their [possessive]"
"165","about who to","about whom to"
"166","about who's  "," about whose [possessive]"
"167","above it's   "," above its [possessive]"
"168","AC current","""AC, alternating current"""
"169","ACL ligament","""ACL, anterior cruciate ligament"""
"170","across it's  "," across its [possessive]"
"171","affect on","effect on"
"172","affect upon","effect upon"
"173","affects of","effects of"
"174","African decent","African descent"
"175","after along time","after a long time"
"176","after awhile","after a while [noun]"
"177","after been","after being"
"178","after it's   "," after its [possessive]"
"179","after quite awhile","after quite a while"
"180","against it's   "," against its [possessive]"
"181","against who","against whom"
"182","ago since","since"
"183","agree in principal","agree in principle"
"184","agreement in principal","agreement in principle"
"185","Air Canada Center","Air Canada Centre"
"186","airplane hanger","airplane hangar"
"187","Albanian decent","Albanian descent"
"188","all for not","all for naught"
"189","all it's   "," all its"
"190","all though","although"
"191","all tolled","all told"
"192","allot of","a lot of"
"193","alma matter","alma mater"
"194","along it's   "," along its [possessive]"
"195","along side","alongside"
"196","along time","a long time"
"197","alongside it's   "," alongside its [possessive]"
"198","alongside with","""along with, alongside"""
"199","also know as","also known as"
"200","also know by","also known by"
"201","also know for","also known for"
"202","alter boy","altar boy"
"203","alter server","altar server"
"204","AM in the morning","""AM, in the morning"""
"205","am loathe to","am loath to [adjective]"
"206","American decent","American descent"
"207","amid it's  "," amid its [possessive]"
"208","amidst it's  "," amidst its [possessive]"
"209","among it's   "," among its [possessive]"
"210","among others things","among other things"
"211","amongst it's   "," amongst its [possessive]"
"212","an affect","an effect"
"213","an alumnae of","an alumna of [singular]"
"214","an alumni of","an alumnus of [singular]"
"215","an another","another"
"216","an antennae","an antenna [singular]"
"217","an British","a British"
"218","an Canadian","a Canadian"
"219","an European","a European"
"220","an head","a head"
"221","an hero","a hero"
"222","an new","a new"
"223","an nine","a nine"
"224","an number","a number"
"225","an other","another"
"226","an Scottish","a Scottish"
"227","an seven","a seven"
"228","an six","a six"
"229","an ten","a ten"
"230","an unit","a unit"
"231","an Unix","a Unix"
"232","an USB","a USB"
"233","and etc","etc"
"234","and so fourth","and so forth"
"235","another criteria","another criterion [singular]"
"236","another wise","an otherwise"
"237","another words","""in other words, other words"""
"238","any where","anywhere"
"239","anyways","anyway"
"240","apart form","apart from"
"241","apart of","""a part of, apart from"""
"242","are aloud to","are allowed to"
"243","are been","""are being, have been"""
"244","are build","are built"
"245","are can","can"
"246","are have","have"
"247","are it's   "," are its [possessive]"
"248","are know as","are known as"
"249","are know by","are known by"
"250","are know for","are known for"
"251","are know to","are known to"
"252","are lain","are laid"
"253","are lead by","are led by"
"254","are loathe to","are loath to [adjective]"
"255","are ran by","are run by"
"256","are renown","are renowned"
"257","are set-up","are set up"
"258","are setup","are set up"
"259","are shutdown","are shut down"
"260","are shutout","are shut out"
"261","are suppose to","are supposed to"
"262","are the dominate","are the dominant"
"263","are use to","are used to"
"264","are were","""are, are where, were"""
"265","Armenian decent","Armenian descent"
"266","around it's  "," around its [possessive]"
"267","as a resulted","as a result"
"268","as apposed to","as opposed to"
"269","as back up","as backup"
"270","as been","""as being, has been"""
"271","as followed","as follows"
"272","as it's  "," as its [possessive]"
"273","as oppose to","as opposed to"
"274","Asian decent","Asian descent"
"275","aside it's   "," aside its [possessive]"
"276","assume the reigns","assume the reins"
"277","assume the roll","assume the role"
"278","at it's  "," at its [possessive]"
"279","at the alter","at the altar"
"280","at the reigns","at the reins"
"281","ATM machine","""ATM, automated teller machine"""
"282","away form","away from"
"283","back and fourth","back and forth"
"284","back drop","backdrop"
"285","back fire","backfire [verb]"
"286","back in forth","back and forth"
"287","back peddle","backpedal"
"288","back round","background"
"289","badly effected","badly affected"
"290","baited breath","bated breath"
"291","baled out","bailed out [though Wiktionary and the COD allow both spellings]"
"292","baling out","bailing out [ditto]"
"293","barb wire","barbed wire"
"294","bare in mind","bear in mind"
"295","based off","based on"
"296","based out of","based in"
"297","basic principal","basic principle"
"298","be build","be built"
"299","be cause","because"
"300","be drew","be drawn"
"301","be it's  "," be its"
"302","be know as","be known as"
"303","be lain","be laid"
"304","be lead by","be led by"
"305","be loathe to","be loath to"
"306","be ran","be run"
"307","be rode","be ridden"
"308","be set-up","be set up"
"309","be setup","be set up"
"310","be use to","be used to"
"311","be ware","beware"
"312","became know","became known"
"313","became to be","""became, came to be"""
"314","because of it's  "," because of its"
"315","because of the fact that","because"
"316","been a while","been awhile"
"317","been build","been built"
"318","been it's  "," been its"
"319","been know","been known"
"320","been lain","been laid"
"321","been lead by","been led by"
"322","been loathe to","been loath to"
"323","been ran","been run"
"324","been rode","been ridden"
"325","been set-up","been set up [verb]"
"326","been setup","been set up"
"327","been show on","been shown on"
"328","been use to","been used to"
"329","before hand","beforehand"
"330","before it's  "," before its"
"331","behind it's  "," behind its"
"332","being build","being built"
"333","being giving","""been giving, being given"""
"334","being it's   "," being its"
