"1","absolutely essential","essential"
"2","aforementioned","DELETE"
"3","a bigger degree of","more"
"4","a greater degree of","more"
"5","a higher degree of","more"
"6","a larger degree of","more"
"7","a considerable amount of","DELETE OR BE SPECIFIC"
"8","a decreased number of","fewer"
"9","a distance of","just state the distance"
"10","a lesser degree of","less"
"11","a smaller degree of","fewer"
"12","a lot of","many, much"
"13","a majority of","most, much of, many"
"14","a person who is","a xxx person"
"15","a total of","just state the number"
"16","added bonus","bonus"
"17","advance notice","notice"
"18","advance reservations","reservations"
"19","advance warning","warning"
"20","advance planning","planning"
"21","after all is said and done","DELETE"
"22","all across","across"
"23","all of","all"
"24","all of a sudden","suddenly"
"25","all of these","these"
"26","all-time record","record"
"27","almost never","seldom"
"28","along the lines of","like"
"29","any and all","all"
"30","are such that","DELETE"
"31","is such that","DELETE"
"32","are able to","can OR DELETE"
"33","was able to","can OR DELETE"
"34","were able to","can OR DELETE"
"35","armed gunman","gunman"
"36","assemble together","assemble"
"37","attach together","attach"
"38","as a matter of fact","in fact OR DELETE"
"39","as a means to","to"
"40","as a result of","because of"
"41","as a whole","DELETE"
"42","as a way to","to"
"43","as being a","as OR DELETE"
"44","as it truly is","DELETE"
"45","as of the moment","DELETE"
"46","as the case may be","DELETE"
"47","at a later date","later"
"48","at the conclusion of","after"
"49","at all times","always OR DELETE"
"50","at first glance","DELETE"
"51","at the present time","currently, now"
"52","at the same time that","while"
"53","at this point in time","now OR DELETE"
"54","autobiography of his [or her] life","autobiography"
"55","bald-headed","bald"
"56","based in large part on","based on"
"57","based on the fact that","since/because"
"58","basic necessity","necessity"
"59","basic fundamentals","basics OR fundamentals"
"60","because of the fact of","because of"
"61","being","DELETE"
"62","being that","because"
"63","best ever","best"
"64","beyond a shadow of a doubt","DELETE"
"65","blend together","blend"
"66","both of these","both"
"67","both of them","both"
"68","both of the","both"
"69","brings to mind","recalls/suggests"
"70","brief moment","moment"
"71","brief summary","summary"
"72","but yet","but OR yet"
"73","burning embers","embers"
"74","by and large","DELETE"
"75","by definition","DELETE"
"76","by leaps and bounds","DELETE"
"77","by means of","by"
"78","by the same token","DELETE OR similarly/likewise"
"79","by the use of","using"
"80","by virtue of","by"
"81","by virtue of the fact that","because"
"82","came to a realization","realized/recognized"
"83","came to an abrupt end","end[ed] abruptly"
"84","careful scrutiny","scrutiny"
"85","can be seen as","is OR DELETE"
"86","classify into groups","classify"
"87","clearly articulate","articulate"
"88","close scrutiny","scrutiny"
"89","close down","close"
"90","close up","close"
"91","collaborate together","collaborate"
"92","combine together","combine"
"93","come to the understanding","understand"
"94","common similarities","similarities"
"95","comparatively larger than","larger than/smaller than"
"96","comparatatively smaller than","smaller than"
"97","compare and contrast","compare"
"98","compete with each other","compete"
"99","complete stranger","stranger"
"100","completely","DELETE"
"101","concerning the matter of","about/regarding"
"102","conduct an investigation into","investigate"
"103","connected together","connected"
"104","continue into the future","continue OR DELETE"
"105","continue on","continue"
"106","consensus of opinion","consensus"
"107","consider to be","DELETE"
"108","considered to be","DELETE"
"109","core essence","DELETE"
"110","correctional facility","jail"
"111","crisis situation","crisis"
"112","dates back to","dates to"
"113","depreciate in value","depreciate"
"114","great pleasure from","enjoy, appreciate, etc."
"115","despite the fact that","although"
"116","did not succeed","failed"
"117","disappear from sight","disappear"
"118","doomed to perish","doomed"
"119","due to the effects","because"
"120","due to the fact that","because"
"121","dull in appearance","dull"
"122","during the course of","during, while"
"123","each and every","each, every"
"124","each individual","DELETE OR everyone"
"125","each of","each"
"126","early on in the","early in the"
"127","each separate incident","each incident"
"128","economically deprived","poor"
"129","eliminate altogether","eliminate"
"130","emergency situation","emergency"
"131","enclosed herewith","enclosed"
"132","end result","result"
"133","engaged in","DELETE"
"134","enter into","enter OR DELETE"
"135","epic quest","quest OR epic"
"136","equal to one another","equal"
"137","equally as good","equally good OR equal"
"138","erode away","erode"
"139","every single one","each one, all, each"
"140","exactly identical","identical"
"141","exactly the same","the same     For Jack, every well was exactly the same"
"142","fair amount","DELETE [or be specific]"
"143","fall down","fall"
"144","few and far between","rare, unusual OR DELETE"
"145","few in number","few"
"146","filled to capacity","filled [full]"
"147","final outcome","final OR DELETE"
"148","first priority","priority"
"149","first and foremost","first"
"150","fly through the air","fly"
"151","foreign imports","imports"
"152","for all intents and purposes","DELETE"
"153","for that which is","for the"
"154","for the manner in which","the way"
"155","for the purpose of","to, for"
"156","foreseeable future","[when exactly?]"
"157","free gift","gift"
"158","frozen ice","ice"
"159","future plans","plans OR prospects"
"160","gain entry into","enter"
"161","gather together","gather"
"162","general consensus","consensus"
"163","general public","public"
"164","give an indication of","indicate"
"165","give consideration to","consider"
"166","grave crisis","crisis"
"167","grow in size","grow"
"168","hand in hand","together"
"169","has the ability to","can"
"170","a tendency to","often OR DELETE"
"171","been found to be","is/was/are"
"172","the ability to","can/could"
"173","the capacity for","can/could"
"174","the effect of","DELETE"
"175","the opportunity to","can/could"
"176","an effect upon","influenced"
"177","hear the sound of","hear"
"178","heat up","heat"
"179","I myself","I"
"180","clear and concise","[concisely] concise"
"181","a situation in which","eperienced"
"182","in a very real sense","DELETE"
"183","in a way that is clear","clearly OR clear way"
"184","in actuality","DELETE"
"185","in all likelihood","likely/probably"
"186","in all probability","probably/likely"
"187","in close proximity","near"
"188","in connection with","about"
"189","in essence","DELETE"
"190","in excess of","more than"
"191","in light of the fact that","because"
"192","in keeping with","AVOID"
"193","in itself","DELETE"
"194","in nature","DELETE"
"195","in order to","to"
"196","in reality","DELETE"
"197","in reference to","about/regarding"
"198","in the event that","if"
"199","in the neighborhood of","about"
"200","in the vicinity of","near"
"201","in today's society "," today"
"202","in spite of","despite"
"203","in spite of the fact that","although"
"204","in such a way","in a way"
"205","in terms of","DELETE"
"206","in the area of","in OR around"
"207","in the course of","during, while"
"208","in the event that","if"
"209","in the final analysis","finally OR DELETE"
"210","in light of","considering OR DELETE"
"211","in a majority of instances","usually"
"212","in the midst of","during, amid"
"213","the nature of","DELETE"
"214","in the near future","soon OR DELETE"
"215","in the not too distant future","soon OR DELETE"
"216","in the vicinity of","near"
"217","in their own right","DELETE"
"218","in this day and age","currently, now, today"
"219","in today's society "," today"
"220","in view of the fact that","because"
"221","in which","DELETE"
"222","inadvertent error","error"
"223","inner feelings","feelings"
"224","join together","integrate/join"
"225","interestingly enough","DELETE"
"226","intertwined together","intertwined"
"227","intertwine together","intertwine"
"228","irregardless","DELETE"
"229","is a reflection of","reflects"
"230","is able to","can OR DELETE"
"231","is an important factor in","DELETE"
"232","is aware of the fact that","knows"
"233","is described as being","is OR is described as"
"234","is found to be","is"
"235","is going to","will"
"236","is helpful in understanding","clarifies"
"237","is in conflict with","conflicts with/is against"
"238","is in contrast to","contrasts with"
"239","is of significant importance","is significant OR is important"
"240","is scared of","fears"
"241","is seen as","is"
"242","is something that is","is"
"243","is well aware that","understands"
"244","is when","is OR DELETE"
"245","is where","DELETE"
"246","more or less","DELETE"
"247","appears as though","appears OR DELETE"
"248","seems as though","seems"
"249","can be seen that","DELETE"
"250","could happen that","could/may/might"
"251","goes to show that","DELETE"
"252","clear that","DELETE"
"253","evident that","DELETE"
"254","apparent that","DELETE"
"255","it is crucial that","must/should OR DELETE"
"256","it is important that","must/should OR DELETE"
"257","interesting","BE MORE SPECIFIC"
"258","necessary that","must/should OR DELETE"
"259","it is possible that","DELETE"
"260","it is rarely the case that","[X] rarely happens"
"261","should be noted that","DELETE OR note that"
"262","should be pointed out that","note that"
"263","would seem that","DELETE"
"264","would appear that","DELETE"
"265","itself","DELETE"
"266","gather together","join/gather"
"267","join together","gather/join"
"268","joint collaboration","collaboration"
"269","joyous celebration","celebration"
"270","kind of","DELETE"
"271","kneel down","kneel"
"272","lag behind","lag"
"273","in size","DELETE"
"274","last but not least","finally"
"275","last but not the least","finally"
"276","later on","later"
"277","lift up","lift"
"278","local residents","residents"
"279","longer/shorter in length","longer/shorter"
"280","look ahead to the future","look ahead, plan OR DELETE"
"281","made out of","made from, made of"
"282","mainly focuses on","focuses on"
"283","major breakthrough","breakthrough"
"284","make a decision","decide"
"285","make a determination","decide"
"286","make an assumption","assume"
"287","make an effort","try"
"288","made an effort","try"
"289","make contact with","contact"
"290","with reference to","about"
"291","manner in which","way"
"292","many different kinds of","many"
"293","many different ways","many ways"
"294","meet together","meet"
"295","mental attitude","attitude"
"296","merge together","merge"
"297","mix together","mix"
"298","more or less","be specific"
"299","more preferable","preferable"
"300","mutual agreement","agreement"
"301","mutual respect for","respect"
"302","nape of the neck","nape"
"303","native habitat","habitat"
"304","natural instinct","instinct"
"305","necessary prerequisite","prerequisite"
"306","never before","never"
"307","new invention","invention/innovation"
"308","new innovation","innovation/invention"
"309","new record","record"
"310","new recruit","recruit"
"311","none at all","none"
"312","nostalgia for the past","nostalgia"
"313","not the least of them being","AVOID"
"314","of great importance","DELETE OR is important"
"315","off of","off OR from"
"316","old custom","custom/adage"
"317","on a daily basis","daily"
"318","on account of the fact that","because"
"319","on the basis of","because, based on"
"320","the grounds that","because"
"321","the occasion of","on/preparing for"
"322","the situation of","about"
"323","the subject of","about OR DELETE"
"324","surface level","surface"
"325","on the whole","DELETE"
"326","on top of this","moreover OR DELETE"
"327","on top of that","moreover"
"328","one of the more","DELETE"
"329","one of the most","DELETE"
"330","only serves to","DELETE"
"331","open up","open"
"332","over again","repeatedly"
"333","over exaggerate","exaggerate"
"334","overall goal","goal"
"335","overall structure","structure"
"336","overexaggerate","exaggerate"
"337","owing to the fact that","because"
"338","particular type of","DELETE"
"339","past experience","experience"
"340","past history","history"
"341","past memories","memories"
"342","the amount of","DELETE"
"343","penetrate into","penetrate"
"344","period of time","period, time, or DELETE"
"345","personal friend","friend"
"346","personal opinion","opinion"
"347","personally","DELETE"
"348","pick and choose","choose"
"349","plan ahead","plan"
"350","plan in advance","plan"
"351","play an important role","DELETE [be specific]"
"352","plays an important role","DELETE [be specific]"
"353","polar opposites","opposites"
"354","possible course of action","choice"
"355","possible courses of action","choices"
"356","previous/prior to","before"
"357","proceed ahead","proceed"
"358","prior to","before"
"359","protest against","protest"
"360","providing that","provided"
"361","put to use","use"
"362","puzzling in nature","puzzling"
"363","quite clearly","DELETE"
"364","readily apparent","apparent"
"365","real life","true"
"366","reconsider again","reconsider"
"367","refer back","refer"
"368","reply back","reply"
"369","reflect back","reflect"
"370","regardless of the fact that","although"
"371","respective","DELETE"
"372","respectively","DELETE"
"373","right up to the","to the"
"374","rise up","rise"
"375","in shape","DELETE"
"376","safe haven","haven"
"377","exactly the same thing","repeat"
"378","scrutinize carefully","scrutinize"
"379","prefer to have","prefer"
"380","serious danger","danger"
"381","serve the purpose of","DELETE"
"382","serves to show","shows"
"383","serve to show","show"
"384","set a new record","set a record"
"385","shout loudly","shout"
"386","in size","DELETE"
"387","some kind of","DELETE"
"388","in the neighborhood of","around"
"389","sort of","DELETE"
"390","spell out in detail","spell out OR DELETE"
"391","state of affairs","DELETE [vague]     Their accident was a terrible state"
"392","still has yet","has yet"
"393","study in depth","study"
"394","subsequent to","after"
"395","subsequent to the use of","after using"
"396","sudden impulse","impulse"
"397","sum total","total OR sum"
"398","summarize briefly","summarize"
"399","surrounded on all sides","surrounded"
"400","sworn affidavit","affidavit"
"401","symbolically represents","represents OR symbolizes"
"402","take action","act"
"403","take into account","consider"
"404","taken the time","DELETE"
"405","in height","DELETE"
"406","terrible tragedy","tragedy"
"407","this being said","DELETE"
"408","that being said","DELETE"
"409","that exists","DELETE"
"410","that exists between","between/with/among"
"411","that exists among","between/with/among"
"412","that exists with","between/with/among"
"413","that is","DELETE when possible"
"414","that are","DELETE when possible"
"415","that were","DELETE when possible"
"416","that is to say","DELETE"
"417","the color","just state the name of the color"
"418","complete opposite of","the opposite of"
"419","end result","result"
"420","final result","result"
"421","human race","humanity OR people"
"422","the fact that","that OR DELETE"
"423","the fact remains","DELETE"
"424","final conclusion","conclusion"
"425","majority of","most/many"
"426","means by which","how"
"427","manner by which","how"
"428","the month of","DELETE"
"429","overall plan","plan"
"430","possibility exists","may/might/could"
"431","is to illustrate","wordy"
"432","is to show","wordy"
"433","is to determine","wordy"
"434","is to demonstrate","wordy"
"435","the reason is because","the reason/because"
"436","the reason why","the reason, why, because"
"437","type of","DELETE"
"438","a tendency","DELETE OR BE SPECIFIC"
"439","there is","DELETE"
"440","there are","DELETE"
"441","there was","DELETE"
"442","there were","DELETE"
"443","total destruction","destruction"
"444","to a certain extent","DELETE OR BE SPECIFIC"
"445","to be","DELETE"
"446","to be in a position to","to"
"447","to make a plan","to plan"
"448","to make a decision","to decide"
"449","to make an acquisition","to acquire"
"450","to make an arrangement","to arrange"
"451","true fact","fact"
"452","in the afternoon","p.m."
"453","in the morning","a.m."
"454","ultimate fate","fate"
"455","ultimate objective OR goal","objective OR goal"
"456","unexpected emergency","emergency"
"457","unexpected surprise","surprise"
"458","unintentional mistake","mistake"
"459","unique in his own way","DELETE"
"460","united as one","united"
"461","until such time as","until"
"462","useless in function","useless"
"463","utmost perfection","perfection"
"464","vacillate back and forth","vacillate"
"465","valuable asset","asset"
"466","various different","various"
"467","very unique","unique"
"468","violent explosion","explosion"
"469","virtually","DELETE"
"470","visible to the eye","visible"
"471","warn in advance","warn"
"472","of the opinion that","believe"
"473","as a society","society"
"474","can see that","AVOID"
"475","we were found to be in agreement","we agreed"
"476","well aware of","aware"
"477","in attendance","attend[ed]"
"478","what is important is","DELETE"
"479","when all is said and done","DELETE"
"480","whether or not","whether/if OR DELETE"
"481","which have been found to be","are OR DELETE"
"482","which is","DELETE when possible"
"483","which are","DELETE when possible"
"484","which were","DELETE when possible"
"485","will come in the future","will come"
"486","will have an effect on","will effect"
"487","with the possible exception of","except for"
"488","who are","DELETE"
"489","who was","DELETE"
"490","who were","DELETE"
"491","the way it does","that way"
"492","with regard to","about/regarding"
"493","with the exception of","except for"
"494","witnessed first hand","witnessed"
"495","young in age","young"
"497","at the risk of","risking"
"498","at / by one","near"
"499","at / for a fraction of","discounted"
"500","at / from the outset","initially"
"501","at / in the end","finally"
"502","at / on sight","immediately"
"503","at / on the double","quickly"
"504","at one time","once"
"505","at a disadvantage","disadvantaged"
"506","at a discount","discounted"
"507","at a distance","far"
"508","at a glance","immediately"
"509","at a guess","estimate"
"510","at a loss","unable"
"511","at a moment","instantly"
"512","at a price","costing"
"513","at a rate of","at"
"514","at a speed of","travelling"
"515","at a standstill","stopped"
"516","at all costs",
"517","at all events","regardless"
"518","at an advantage","advantaged"
"519","at any cost",
"520","at any rate",
"521","at breakfast","breakfasting/ed"
"522","at ease with","peaceful"
"523","at face value",
"524","at fault","responsible"
"525","at full strength",
"526","at hand","near"
"527","at heart",
"528","at home with","accepting"
"529","at issue","disputing"
"530","at large","roaming"
"531","at length","eventually"
"532","at liberty","free"
"533","at odds with","disputing"
"534","at once","immediately"
"535","at peace with","accept"
"536","at war with","fighting"
"537","at play","playing"
"538","at present","now"
"539","at random","randomly"
"540","in front of","before"
"541","at the age of","X years old"
"542","at the beginning","initially"
"543","at the expense of","costing"
"544","at the foot of","beneath"
"545","at the hands of","subservient to"
"546","at the height of","peaking"
"547","at the latest","most recent"
"548","at the mercy of",
"549","at the peak of","cresting"
"550","at the same time","simultaneously"
"551","at the thought of","thinking"
"552","at the time of","during"
"553","at the top of","topping"
"554","at this juncture","now"
"555","at times","sometimes"
"556","at war with","fighting"
"557","at work","working"
"558","behind the scenes","incognito"
"559","by chance","possibly"
"560","by the name of","named"
"561","with luck","luckily"
"562","by accident","accidentally"
"563","by all accounts",
"564","by all means","certainly"
"565","by coincidence","coincidentally"
"566","by courtesy of","thanks to"
"567","by definition","DELETE"
"568","by degrees","gradually"
"569","by design","intentional"
"570","by far","clearly"
